"날짜","종가","시가","고가","저가","거래량","변동 %"
"2006- 10- 08","4,169.00","4,015.00","4,169.00","4,015.00","","5.17%"
"2006- 10- 01","3,964.00","3,956.00","3,964.00","3,931.00","","0.51%"
"2006- 09- 24","3,944.00","4,069.00","4,069.00","3,911.00","","-4.64%"
"2006- 09- 17","4,136.00","4,279.00","4,279.00","4,136.00","","-2.87%"
"2006- 09- 10","4,258.00","3,948.00","4,258.00","3,948.00","","8.79%"
"2006- 09- 03","3,914.00","3,882.00","3,914.00","3,877.00","","1.01%"
"2006- 08- 27","3,875.00","3,750.00","3,875.00","3,750.00","","5.01%"
"2006- 08- 20","3,690.00","3,720.00","3,720.00","3,633.00","","-1.73%"
"2006- 08- 13","3,755.00","3,755.00","3,841.00","3,755.00","","1.10%"
"2006- 08- 06","3,714.00","3,654.00","3,714.00","3,654.00","","2.68%"
"2006- 07- 30","3,617.00","3,285.00","3,617.00","3,285.00","","10.95%"
"2006- 07- 23","3,260.00","3,202.00","3,260.00","3,202.00","","2.16%"
