,Dow Jones,S&P500,GDP,CPI,Inflation,BDI,BDI_return,BDI_vol,30_yield,3m_yield,7_yield
2017-02-10,20269.369140625,2316.10009765625,19350.554666666667,251.36175,1.8014655135714286,741.0,0.05406722127027579,0.08688231004384016,301.0,55.0,222.0
2017-02-17,20624.05078125,2351.159912109375,19362.887033333333,250.786,1.6915591385714286,875.0,0.1662232610615275,0.07930629628742085,303.0,53.0,223.0
2017-02-24,20821.759765625,2367.340087890625,19375.219399999998,250.21025,1.5816527635714286,939.0,0.0705915928506485,0.06762180108809276,295.0,52.0,212.0
2017-03-03,21005.7109375,2383.1201171875,19387.551766666667,249.91532258064518,1.5170528216129031,1086.0,0.14544102128561778,0.052926538414301755,308.0,71.0,232.0
2017-03-10,20902.98046875,2372.60009765625,19399.884133333333,250.32245161290322,1.5657189622580645,1196.0,0.09648143401669637,0.034619656161945456,316.0,75.0,240.0
2017-03-17,20914.619140625,2378.25,19412.2165,250.7295806451613,1.614385102903226,1240.0,0.03612872408850548,0.04267581045320584,311.0,73.0,231.0
2017-03-24,20596.720703125,2343.97998046875,19424.548866666668,251.13670967741936,1.663051243548387,1297.0,0.04494252571736127,0.006232298899779666,300.0,78.0,222.0
2017-03-31,20663.220703125,2362.719970703125,19436.881233333334,251.54383870967743,1.7117173841935485,1223.0,-0.05874704862927154,0.07331960115884936,302.0,76.0,222.0
2017-04-07,20656.099609375,2355.5400390625,19455.387087912088,250.7052,1.68789702,1296.0,0.057975741225047624,0.08253547622500018,300.0,82.0,220.0
2017-04-14,20453.25,2328.949951171875,19474.921857142857,249.65893333333332,1.6519955716666668,1195.0,-0.08113641254660892,0.09836714727740306,289.0,81.0,205.0
2017-04-21,20547.759765625,2348.68994140625,19494.456626373627,248.61266666666666,1.6160941233333335,1109.0,-0.07468747701524404,0.004560086045642907,289.0,79.0,205.0
2017-04-28,20940.509765625,2384.199951171875,19513.991395604397,247.5664,1.5801926750000002,994.0,-0.10947678069379305,0.024599752543856455,296.0,80.0,210.0
2017-05-05,21006.939453125,2399.2900390625,19533.526164835166,246.62135483870966,1.486597490967742,1014.0,0.01992097749455435,0.0914980322853165,299.0,90.0,217.0
2017-05-12,20896.609375,2390.89990234375,19553.060934065936,245.7522258064516,1.3497320051612904,956.0,-0.05890027109972715,0.05573503938260531,298.0,88.0,213.0
2017-05-19,20804.83984375,2381.72998046875,19572.595703296705,244.88309677419355,1.2128665193548387,912.0,-0.04711792297706985,0.008331378255820284,290.0,92.0,205.0
2017-05-26,21080.279296875,2415.820068359375,19592.130472527475,244.0139677419355,1.0760010335483872,830.0,-0.09421428928368779,0.03330215998465242,292.0,94.0,206.0
2017-06-02,21206.2890625,2439.070068359375,19611.66524175824,243.1876,0.983803485,849.0,0.022633485520703638,0.08262385393074262,280.0,98.0,196.0
2017-06-09,21271.970703125,2431.77001953125,19631.20001098901,242.61780000000002,1.15961356,851.0,0.002352942262026836,0.014340509664350319,286.0,101.0,202.0
2017-06-16,21384.279296875,2433.14990234375,19650.73478021978,242.048,1.335423635,870.0,0.022081083075255175,0.013949902149229481,278.0,103.0,197.0
2017-06-23,21394.759765625,2438.300048828125,19670.26954945055,241.4782,1.51123371,901.0,0.03501204595970855,0.00914357154285708,271.0,97.0,198.0
2017-06-30,21349.630859375,2423.409912109375,19689.80431868132,240.9084,1.687043785,822.0,-0.09176486255215802,0.08964481170660628,284.0,103.0,214.0
2017-07-07,21414.33984375,2425.179931640625,19715.06193478261,242.74487096774195,1.7005502474193548,900.0,0.09065436826813084,0.1289898751318595,293.0,105.0,222.0
2017-07-14,21637.740234375,2459.27001953125,19741.273358695653,244.98238709677418,1.6870061077419354,977.0,0.08209188871847203,0.006054587353316617,291.0,104.0,213.0
2017-07-21,21580.0703125,2472.5400390625,19767.484782608695,247.21990322580643,1.6734619680645162,933.0,-0.04608145119543893,0.09063223782045368,281.0,116.0,205.0
2017-07-28,21830.310546875,2472.10009765625,19793.69620652174,249.4574193548387,1.6599178283870968,1032.0,0.10084874519416426,0.10389533822815859,289.0,108.0,210.0
2017-08-04,22092.810546875,2476.830078125,19819.907630434784,251.67887096774191,1.6914322603225806,1138.0,0.09777366864476815,0.0021744074806939444,284.0,108.0,208.0
2017-08-11,21858.3203125,2441.320068359375,19846.119054347826,253.87890322580645,1.7830247877419354,1260.0,0.10183938525924745,0.002874895788441939,279.0,103.0,200.0
2017-08-18,21674.509765625,2425.550048828125,19872.33047826087,256.07893548387096,1.8746173151612904,1209.0,-0.041318149330730976,0.10122766348652046,278.0,102.0,201.0
2017-08-25,21813.669921875,2443.050048828125,19898.541902173914,258.27896774193545,1.9662098425806454,1183.0,-0.021739986636405875,0.013843851604323904,275.0,103.0,200.0
2017-09-01,21987.560546875,2476.550048828125,19924.753326086957,260.479,2.05780237,1332.0,0.11862798712194762,0.09925514610594605,277.0,102.0,199.0
2017-09-08,21797.7890625,2461.429931640625,19950.96475,260.65866666666665,2.0332783273333335,1385.0,0.0390185675211045,0.056292360446079465,267.0,104.0,189.0
2017-09-15,22268.33984375,2500.22998046875,19977.176173913045,260.8383333333333,2.008754284666667,1502.0,0.08109741370264126,0.029754237479466688,277.0,105.0,204.0
2017-09-22,22349.58984375,2502.219970703125,20003.387597826088,261.01800000000003,1.984230242,1356.0,-0.10225836382373914,0.1296521136586348,280.0,103.0,210.0
2017-09-29,22405.08984375,2519.360107421875,20029.59902173913,261.1976666666667,1.9597061993333333,1405.0,0.03549811326750519,0.09740853910358716,286.0,106.0,216.0
2017-10-06,22773.669921875,2549.330078125,20052.928489130434,262.66641935483875,1.971485731612903,1485.0,0.05537746946895389,0.014056827575659537,291.0,107.0,220.0
2017-10-13,22871.720703125,2553.169921875,20075.10517391304,264.65080645161294,1.9977866938709676,1578.0,0.06074345016901952,0.003794321340703634,281.0,109.0,212.0
2017-10-20,23328.630859375,2575.2099609375,20097.281858695653,266.63519354838706,2.024087656129032,1546.0,-0.020487272258452267,0.05743879466914564,289.0,111.0,224.0
2017-10-27,23434.189453125,2581.070068359375,20119.45854347826,268.61958064516125,2.0503886183870965,1476.0,-0.04633522398694952,0.018277261946997584,293.0,110.0,226.0
