"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 11- 22","48.18","45.08","49.09","44.89","938.03K","7.16%"
"2020- 11- 15","44.96","42.71","45.24","42.71","1.21M","5.10%"
"2020- 11- 08","42.78","39.65","45.30","39.46","1.54M","8.44%"
"2020- 11- 01","39.45","37.37","41.53","35.74","1.33M","5.31%"
"2020- 10- 25","37.46","41.53","41.63","36.64","714.58K","-10.32%"
"2020- 10- 18","41.77","42.69","43.30","41.45","1.19M","-2.70%"
"2020- 10- 11","42.93","42.60","43.48","41.36","1.24M","0.19%"
"2020- 10- 04","42.85","39.19","43.57","39.14","1.33M","9.12%"
"2020- 09- 27","39.27","41.87","42.62","38.79","878.93K","-6.32%"
"2020- 09- 20","41.92","43.01","43.30","40.96","904.30K","-2.85%"
"2020- 09- 13","43.15","39.78","43.80","39.30","1.09M","8.34%"
"2020- 09- 06","39.83","42.20","42.43","39.31","1.19M","-6.63%"
"2020- 08- 30","42.66","45.80","46.53","42.30","1.19M","-5.31%"
"2020- 08- 23","45.05","44.50","46.10","44.29","610.85K","1.58%"
"2020- 08- 16","44.35","44.86","45.55","43.59","992.53K","-1.00%"
"2020- 08- 09","44.80","44.66","45.79","44.37","804.39K","0.90%"
"2020- 08- 02","44.40","43.53","46.23","42.89","1.03M","2.54%"
"2020- 07- 26","43.30","43.35","43.95","41.38","424.61K","-0.09%"
"2020- 07- 19","43.34","43.08","44.89","42.36","1.06M","0.46%"
"2020- 07- 12","43.14","43.12","43.85","41.80","988.16K","-0.23%"
"2020- 07- 05","43.24","42.79","43.71","41.32","1.01M","1.03%"
"2020- 06- 28","42.80","40.56","43.23","40.04","645.37K","4.34%"
"2020- 06- 21","41.02","41.74","43.93","39.47","852.77K","-2.77%"
"2020- 06- 14","42.19","38.80","42.92","37.24","1.03M","8.93%"
"2020- 06- 07","38.73","42.40","43.41","37.01","1.21M","-8.44%"
"2020- 05- 31","42.30","37.56","42.48","37.18","1.08M","19.73%"
"2020- 05- 24","35.33","34.98","36.68","33.62","356.89K","0.57%"
"2020- 05- 17","35.13","32.78","36.98","32.69","965.57K","8.09%"
"2020- 05- 10","32.50","30.70","32.91","28.86","1.10M","4.94%"
"2020- 05- 03","30.97","26.10","32.27","25.50","1.16M","17.13%"
"2020- 04- 26","26.44","21.55","27.88","18.73","598.83K","23.32%"
"2020- 04- 19","21.44","28.05","28.25","15.98","1.79M","-23.65%"
"2020- 04- 12","28.08","33.99","33.99","27.16","1.36M","-10.80%"
"2020- 04- 05","31.48","31.76","36.40","30.03","1.41M","-7.71%"
"2020- 03- 29","34.11","23.85","36.29","21.65","1.58M","36.82%"
"2020- 03- 22","24.93","26.75","28.65","24.13","863.35K","-7.60%"
"2020- 03- 15","26.98","35.82","35.84","24.52","1.60M","-20.30%"
"2020- 03- 08","33.85","38.28","39.70","31.02","2.64M","-25.23%"
"2020- 03- 01","45.27","48.95","53.90","45.18","2.19M","-10.39%"
"2020- 02- 23","50.52","57.85","57.86","50.05","750.62K","-13.64%"
"2020- 02- 16","58.50","57.29","60.00","56.30","1.13M","2.06%"
"2020- 02- 09","57.32","54.20","57.53","53.11","1.44M","5.23%"
"2020- 02- 02","54.47","56.16","56.77","53.69","1.95M","-6.34%"
