,Dow Jones,S&P500,S&P500_return,GDP,CPI,Inflation,BDI,BDI_return,BDI_vol,30_yield,3m_yield,7_yield,cond_vol
1995-01-18,3908.45,465.9700012207031,-0.0007235812552839466,7530.116733333333,87.14516129032258,3.647348909677419,2059.0,-0.00048555475583733767,0.027280666121549828,780.0,572.0,771.0,0.0318018144573546
1995-01-19,3908.45,465.9700012207031,-0.0058932531018527435,7530.116733333333,87.14516129032258,3.647348909677419,2059.0,-0.00048555475583733767,0.027280666121549828,780.0,572.0,771.0,0.0318018144573546
1995-01-20,3869.43,464.7799987792969,-0.0046580389721696605,7534.682911111111,87.05483870967743,3.6165364903225807,1983.0,-0.037609578507993485,0.02625064894008011,790.0,591.0,784.0,0.0299007331316323
1995-01-23,3869.43,464.7799987792969,0.002235136408933183,7534.682911111111,87.05483870967743,3.6165364903225807,1983.0,-0.037609578507993485,0.02625064894008011,790.0,591.0,784.0,0.0299007331316323
1995-01-24,3869.43,464.7799987792969,8.581922480377893e-05,7534.682911111111,87.05483870967743,3.6165364903225807,1983.0,-0.037609578507993485,0.02625064894008011,790.0,591.0,784.0,0.0299007331316323
1995-01-25,3869.43,464.7799987792969,0.0033858751097652663,7534.682911111111,87.05483870967743,3.6165364903225807,1983.0,-0.037609578507993485,0.02625064894008011,790.0,591.0,784.0,0.0299007331316323
1995-01-26,3869.43,464.7799987792969,0.001880835113810826,7534.682911111111,87.05483870967743,3.6165364903225807,1983.0,-0.037609578507993485,0.02625064894008011,790.0,591.0,784.0,0.0299007331316323
1995-01-27,3857.99,470.3900146484375,0.004410330413175842,7539.249088888889,86.96451612903226,3.585724070967742,1959.0,-0.012176710575255231,0.017983753380261185,775.0,592.0,763.0,0.035503116092876
1995-01-30,3857.99,470.3900146484375,-0.004004701984228615,7539.249088888889,86.96451612903226,3.585724070967742,1959.0,-0.012176710575255231,0.017983753380261185,775.0,592.0,763.0,0.035503116092876
1995-01-31,3857.99,470.3900146484375,0.004068474219667763,7539.249088888889,86.96451612903226,3.585724070967742,1959.0,-0.012176710575255231,0.017983753380261185,775.0,592.0,763.0,0.035503116092876
1995-02-01,3857.99,470.3900146484375,-4.2557622280917055e-05,7539.249088888889,86.96451612903226,3.585724070967742,1959.0,-0.012176710575255231,0.017983753380261185,775.0,592.0,763.0,0.035503116092876
1995-02-02,3857.99,470.3900146484375,0.005067949740136427,7539.249088888889,86.96451612903226,3.585724070967742,1959.0,-0.012176710575255231,0.017983753380261185,775.0,592.0,763.0,0.035503116092876
1995-02-03,3928.64,478.6499938964844,0.012318295291448034,7543.8152666666665,86.91428571428573,3.557316042857143,1980.0,0.01066270574404011,0.016149906157716425,761.0,596.0,744.0,0.0330725786726831
1995-02-06,3928.64,478.6499938964844,0.005188689851421475,7543.8152666666665,86.91428571428573,3.557316042857143,1980.0,0.01066270574404011,0.016149906157716425,761.0,596.0,744.0,0.0330725786726831
1995-02-07,3928.64,478.6499938964844,-0.0006861418963632446,7543.8152666666665,86.91428571428573,3.557316042857143,1980.0,0.01066270574404011,0.016149906157716425,761.0,596.0,744.0,0.0330725786726831
1995-02-08,3928.64,478.6499938964844,0.0007900309824894345,7543.8152666666665,86.91428571428573,3.557316042857143,1980.0,0.01066270574404011,0.016149906157716425,761.0,596.0,744.0,0.0330725786726831
1995-02-09,3928.64,478.6499938964844,-0.0020803435802148494,7543.8152666666665,86.91428571428573,3.557316042857143,1980.0,0.01066270574404011,0.016149906157716425,761.0,596.0,744.0,0.0330725786726831
1995-02-10,3939.07,481.4599914550781,0.0026412723133221227,7548.381444444444,86.96428571428572,3.534918992857143,1992.0,0.006042314455962662,0.003267110011534598,768.0,597.0,761.0,0.0310015908581375
1995-02-13,3939.07,481.4599914550781,0.00039456022003928623,7548.381444444444,86.96428571428572,3.534918992857143,1992.0,0.006042314455962662,0.003267110011534598,768.0,597.0,761.0,0.0310015908581375
1995-02-14,3939.07,481.4599914550781,0.0018668205246841424,7548.381444444444,86.96428571428572,3.534918992857143,1992.0,0.006042314455962662,0.003267110011534598,768.0,597.0,761.0,0.0310015908581375
1995-02-15,3939.07,481.4599914550781,0.004115487841413537,7548.381444444444,86.96428571428572,3.534918992857143,1992.0,0.006042314455962662,0.003267110011534598,768.0,597.0,761.0,0.0310015908581375
1995-02-16,3939.07,481.4599914550781,0.0014023939539251535,7548.381444444444,86.96428571428572,3.534918992857143,1992.0,0.006042314455962662,0.003267110011534598,768.0,597.0,761.0,0.0310015908581375
1995-02-17,3953.54,481.9700012207031,-0.006720524869152118,7552.947622222222,87.01428571428572,3.512521942857143,2027.0,0.017417708307456488,0.00804361813105893,759.0,586.0,741.0,0.0292522903490887
1995-02-21,3953.54,481.9700012207031,0.0015549039571464017,7552.947622222222,87.01428571428572,3.512521942857143,2027.0,0.017417708307456488,0.00804361813105893,759.0,586.0,741.0,0.0292522903490887
1995-02-22,3953.54,481.9700012207031,0.004856447579582808,7552.947622222222,87.01428571428572,3.512521942857143,2027.0,0.017417708307456488,0.00804361813105893,759.0,586.0,741.0,0.0292522903490887
