,return,Dow Jones,S&P500,GDP,CPI,Inflation,BDI,30_yield,3m_yield,7_yield
2020-02-14,-0.3142035501205283,1.4377617818106243,1.280418643864015,0.7861104808448354,-0.1536268715430137,-0.990377694686938,-0.9022864613823373,-1.5137513225560555,0.021854857326144467,-1.0612656420620843
2020-02-21,-0.2794625836967183,1.3895527658973332,1.2411424994086069,0.756199068800415,-0.21841694735090114,-1.2391059558108255,-0.8829186059681273,-1.6364584528002217,0.010307449687445602,-1.1560737951261686
2020-02-28,-0.18199314023258026,0.9637500558195651,0.8859524015182341,0.7262876567559938,-0.2832070231587896,-1.487834216934713,-0.841124812705885,-1.8555783282362333,-0.15712996107368793,-1.440498254318422
2020-03-06,0.2801728836743878,1.0178712639175784,0.9027613912036795,0.6963762447115718,-0.34005071530944747,-1.8205842064149773,-0.8339892870269656,-2.2061701289338513,-0.6305736742603414,-1.709121354666661
2020-03-13,2.700587247006704,0.6994851385426978,0.6607230638780066,0.6664648326671505,-0.39371585399721293,-2.1869428872377923,-0.8370473694607883,-1.9344614833931972,-0.7287266391892817,-1.5511077662265205
2020-03-20,6.781399492238995,0.22274988620523736,0.28463065279808847,0.6365534206227301,-0.44738099268497944,-2.5533015680606073,-0.8722153174497482,-1.9432262784106378,-0.8615218270343187,-1.6064125221805696
2020-03-27,14.067042066910293,0.5154240567415906,0.5037014649409299,0.6066420085783073,-0.5010461313727449,-2.9196602488834222,-0.8416344931115222,-2.1711109488640896,-0.8730692346730176,-1.7802274694647244
2020-04-03,14.978195326862195,0.44599293545668744,0.4547843950428116,0.5935422788454662,-0.5440464781333946,-3.1989063673913676,-0.8319505654044173,-2.214934923951292,-0.8326533079375715,-1.8434329048407807
2020-04-10,13.898498750913184,0.762914939117481,0.7337003926893648,0.6224717548915769,-0.5603848450762533,-3.2603710801121397,-0.7728276383505135,-2.118522178759447,-0.74604775064733,-1.7802274694647244
2020-04-17,10.429153966281877,0.825081621371392,0.8121787467357402,0.6514012309376876,-0.5767232120191119,-3.3218357928329123,-0.8166601532353042,-2.1886405388989707,-0.8211059002988726,-1.8355322254187736
2020-04-24,7.144211199722611,0.7695580316315722,0.7771532917344349,0.6803307069837976,-0.5930615789619709,-3.3833005055536844,-0.841124812705885,-2.276288489073375,-0.8211059002988726,-1.8513335842627876
2020-05-01,6.142407902336158,0.763428356560658,0.7715688354138558,0.7092601830299083,-0.6093999459048295,-3.444765218274457,-0.8936218944865065,-2.1886405388989707,-0.8211059002988726,-1.8355322254187736
2020-05-08,5.6538899313565985,0.8356380132037313,0.8633369248183834,0.7381896590760183,-0.58094716376654,-3.1864254822625635,-0.9481576978896763,-2.083462998689685,-0.8211059002988726,-1.8355322254187736
2020-05-15,5.865827417432628,0.7588804807100201,0.8021211180662263,0.7671191351221291,-0.5524943816282508,-2.9280857462506704,-0.9017767809767001,-2.1448165638117684,-0.8211059002988726,-1.8671349431068018
2020-05-22,2.824276739972264,0.8515432770876146,0.8870914958517324,0.7960486111682383,-0.5240415994899607,-2.6697460102387773,-0.8987186985428776,-2.100992588724566,-0.8211059002988726,-1.8513335842627876
2020-05-29,1.4130044507877157,0.9606305574306413,0.9693855219846739,0.8249780872143498,-0.4955888173516712,-2.4114062742268842,-0.8095246275563848,-2.065933408654804,-0.8095584926601738,-1.8592342636847947
2020-06-05,0.7201198184803321,1.16596736098192,1.107949632469823,0.8539075632604598,-0.47283263981514667,-2.0798139044130344,-0.685162608580932,-1.8292839431839119,-0.8037847888408244,-1.693319995822647
2020-06-12,0.4919369391134374,0.9870636641660724,0.9666071990053113,0.8828370393065705,-0.45434891572994546,-1.6932820592477174,-0.363044592218284,-2.0308742285850423,-0.7980110850214749,-1.8276315459967665
2020-06-19,0.22734310674237884,1.0186652969524377,1.018867390938981,0.9117665153526805,-0.4358651916447442,-1.3067502140824008,-0.26416659352468636,-2.013344638550161,-0.8037847888408244,-1.8355322254187736
2020-06-26,0.3335532730603173,0.916950616819662,0.9367309568565454,0.9406959913987913,-0.417381467559543,-0.9202183689170836,-0.19026293470730668,-2.100992588724566,-0.8095584926601738,-1.8671349431068018
2020-07-03,0.32424580129679553,1.0134243539746177,1.048752903208365,0.9631362788082828,-0.4010391848116534,-0.6335531235153871,-0.2330760887808232,-2.0484038186199234,-0.8095584926601738,-1.8592342636847947
2020-07-10,0.20744983408551795,1.0428892232067841,1.0997166348585332,0.9693535946262287,-0.3900505054070437,-0.5965543775227431,-0.2840441293445333,-2.136051768794328,-0.8153321964795233,-1.8671349431068018
2020-07-17,0.02167508731696979,1.1137937504271702,1.1364737936113796,0.9755709104441745,-0.37906182600243293,-0.5595556315300991,-0.48434852875991413,-2.136051768794328,-0.826879604118222,-1.8829363019508158
2020-07-24,-0.07697713366752892,1.0897815044206434,1.128046123467112,0.9817882262621211,-0.36807314659782253,-0.5225568855374547,-0.46752907537388977,-2.2236997189687324,-0.826879604118222,-1.906638340216837
2020-07-31,-0.25862110722444737,1.0848413702160413,1.179436054565205,0.988005542080067,-0.35708446719321246,-0.4855581395448104,-0.3905673341226875,-2.2499941040210536,-0.8384270117569209,-1.9461417373268721
2020-08-07,-0.30303597180428465,1.2042926269029834,1.2536727631775924,0.9942228578980136,-0.37283336978272935,-0.508727946161904,-0.3426573759928,-2.2236997189687324,-0.8326533079375715,-1.930340378482858
2020-08-14,-0.32351023884628755,1.2634191908609032,1.2736489687073504,1.0004401737159587,-0.3930385360379341,-0.5419258448806208,-0.4007609422354295,-2.0308742285850423,-0.8326533079375715,-1.8513335842627876
2020-08-21,-0.3619616388011125,1.263337257607087,1.296162474080403,1.0066574895339044,-0.41324370229313845,-0.5751237435993369,-0.3971931793959698,-2.118522178759447,-0.8326533079375715,-1.8908369813728227
2020-08-28,-0.18490340170039532,1.349321217218217,1.3988215986080523,1.0128748053518504,-0.43344886854834286,-0.608321642318054,-0.46141291050624456,-1.9695206634629592,-0.8326533079375715,-1.8513335842627876
2020-09-04,-0.039866413114992685,1.2874590574260818,1.3237605275621722,1.0190921211697954,-0.44973128988071326,-0.6563378986501399,-0.5098325490417692,-2.0221094335676018,-0.826879604118222,-1.8592342636847947
2020-09-11,0.1141263469667379,1.2318820834132373,1.2441245389410622,1.025309436987742,-0.4607833846493038,-0.7241119651333854,-0.4950518172782933,-2.0571686136373635,-0.826879604118222,-1.8987376607948299
2020-09-18,0.1653888936597163,1.2309051512168847,1.2242132242556303,1.0315267528056877,-0.4718354794178936,-0.7918860316166306,-0.30596038678692866,-2.0308742285850423,-0.8326533079375715,-1.8750356225288087
2020-09-25,0.15411307764651205,1.1734518360599884,1.204755693279474,1.0377440686236337,-0.4828875741864834,-0.8596600980998761,-0.12604320359703192,-2.0746982036722446,-0.8326533079375715,-1.8987376607948299
2020-10-02,0.023063086076025825,1.233922523170457,1.251023995786379,1.0444299655698892,-0.4897531047454477,-0.9165922473710119,-0.1912822955185809,-2.004579843532721,-0.8384270117569209,-1.8750356225288087
2020-10-09,0.09603727783308118,1.341362782637903,1.3702325466221696,1.0539273492860042,-0.4714992500466557,-0.9084728933694904,-0.40279966385797794,-1.9169318933583164,-0.8326533079375715,-1.8197308665747596
2020-10-16,0.04705289644312836,1.3436694474436415,1.3764098384612946,1.0634247330021191,-0.4532453953478638,-0.9003535393679691,-0.4343998490074782,-1.9695206634629592,-0.826879604118222,-1.8355322254187736
2020-10-23,-0.044434362920160314,1.3114952103027022,1.3593507816196662,1.0729221167182348,-0.4349915406490718,-0.8922341853664475,-0.5016776625515755,-1.8643431232536736,-0.8326533079375715,-1.7723267900427173
2020-10-30,0.0144754753251341,1.0935497377795853,1.1783616249755295,1.0824195004343489,-0.41673768595027955,-0.8841148313649262,-0.5460198578420034,-1.8555783282362333,-0.8384270117569209,-1.7486247517766962
2020-11-06,-0.14518699648576658,1.3100489607148016,1.4001458692534077,1.0919168841504638,-0.37854870046201733,-0.8219775066930908,-0.5873039706986086,-1.8994023033234355,-0.8326533079375715,-1.7881281488867313
2020-11-13,0.029631822580878965,1.447474470023638,1.4702614439998412,1.1014142678665786,-0.33238566265796693,-0.73823299375313,-0.5704845173125842,-1.8555783282362333,-0.8384270117569209,-1.7407240723546893
2020-11-20,0.0163628272188528,1.4217662288736688,1.4446917381293891,1.1109116515826936,-0.28622262485391686,-0.6544884808131691,-0.5286907240503419,-1.9607558684455186,-0.8499744193956198,-1.7644261106207102
2020-11-27,-0.044532987724381586,1.4986412067680344,1.5195305523809404,1.1204090352988092,-0.24005958704986646,-0.570743967873208,-0.5455101774363663,-1.925696688375757,-0.8384270117569209,-1.7723267900427173
2020-12-04,-0.07680392723574364,1.5352303232881195,1.5758101329542689,1.1299064190149242,-0.2031720057939526,-0.5536781470728007,-0.5383746517574469,-1.7854599680967096,-0.8384270117569209,-1.701220675244654
2020-12-11,-0.25738211833779884,1.5148031793735062,1.5427849891019236,1.139403802731039,-0.17865169993555488,-0.6255172491251313,-0.48027108551481734,-1.8731079182711141,-0.8442007155762704,-1.7565254311987033
2020-12-18,-0.3086078439948068,1.5305708046751993,1.5853395908490602,1.1489011864471546,-0.1541313940771565,-0.6973563511774616,-0.4593741888836962,-1.811754353149031,-0.8442007155762704,-1.724922713510675
2020-12-25,-0.3043482072439399,1.5330448175715936,1.579458942869711,1.1583985701632686,-0.12961108821875844,-0.7691954532297922,-0.4593741888836962,-1.8468135332187927,-0.8384270117569209,-1.7328233929326822
2021-01-01,-0.3583815239382302,1.581365708352702,1.6285519189590683,1.1678959538793836,-0.10509078236036042,-0.8410345552821229,-0.3370508915307919,-1.8555783282362333,-0.8384270117569209,-1.7407240723546893
2021-01-08,-0.2544445902207119,1.6397734414690666,1.6920920388808094,1.1795689693776732,-0.04800338515710586,-0.7600259978199453,-0.26161819149650084,-1.6627528378525431,-0.8442007155762704,-1.6143132016025767
2021-01-15,-0.20979626993212405,1.606057791470922,1.6398318469471396,1.1912419848759628,0.009084012046148691,-0.6790174403577681,-0.2330760887808232,-1.6802824278874242,-0.8384270117569209,-1.6380152398685977
2021-01-22,-0.24945463754326255,1.627771960576501,1.7076414226647225,1.2029150003742533,0.06617140924940325,-0.5980088828955906,-0.41554167399890546,-1.6802824278874242,-0.8442007155762704,-1.6459159192906048
2021-01-29,-0.3042580181787891,1.5072272547146912,1.5898127631979948,1.2145880158725435,0.1232588064526578,-0.5170003254334133,-0.4761936422697205,-1.6627528378525431,-0.8557481232149693,-1.6301145604465908
