,return,Inflation
2015-06-05,-0.16075106559795244,-0.3489391179858178
2015-06-12,-0.11304252893753407,-0.33935632850245334
2015-06-19,-0.15615578787017237,-0.3297735390190882
2015-06-26,-0.26814134430888253,-0.32019074953572374
2015-07-03,-0.2986728607397436,-0.3211031796187536
2015-07-10,-0.053030948547932825,-0.34825365861777235
2015-07-17,-0.04680596450574036,-0.3754041376167911
2015-07-24,-0.023746282854422873,-0.4025546166158102
2015-07-31,-0.051558475771178926,-0.42970509561482895
2015-08-07,-0.29145919599318976,-0.3715194312949812
2015-08-14,-0.22289299990420888,-0.29911107642198875
2015-08-21,-0.1612015912343579,-0.22670272154899665
2015-08-28,0.23345422064654786,-0.15429436667600419
2015-09-04,1.094208779238093,-0.21001608295704355
2015-09-11,1.1532859599454173,-0.43657789411012404
2015-09-18,1.2624414215310762,-0.6631397052632049
2015-09-25,1.2310644432872806,-0.8897015164162857
2015-10-02,0.2888031923290449,-1.0841674336826865
2015-10-09,0.13877232420562108,-1.086057987629009
2015-10-16,0.10225335514765753,-1.0879485415753316
2015-10-23,-0.11477906130000898,-1.0898390955216541
2015-10-30,-0.06046610544174072,-1.0917296494679767
2015-11-06,-0.019600025785597275,-1.049923436147735
2015-11-13,-0.09446183495721268,-0.9906385159208685
2015-11-20,-0.04263222934312467,-0.9313535956940012
2015-11-27,-0.06928024779787728,-0.8720686754671338
2015-12-04,-0.1099041655713373,-0.8371194619003731
2015-12-11,0.03325672694190429,-0.8346178572137535
2015-12-18,0.07377626426559682,-0.8321162525271337
2015-12-25,0.15147415950873155,-0.8296146478405136
2016-01-01,0.2206883974200103,-0.8271130431538939
2016-01-08,0.13963152988607935,-0.954848117068209
2016-01-15,0.26478740311117194,-1.0825831909825239
2016-01-22,0.8222260290142771,-1.210318264896839
2016-01-29,1.460459925690223,-1.3380533388111542
2016-02-05,1.808554328037593,-1.465293400117453
2016-02-12,2.1090206661366513,-1.592162201967738
2016-02-19,2.330481543821263,-1.7190310038180237
2016-02-26,1.5540177415048064,-1.8458998056683096
